zone,model,feature,importance,importance_pct
NAC,LightGBM,hour_auto,40.0,0.445335114673792
NAC,LightGBM,day_auto,39.0,0.43420173680694724
NAC,LightGBM,is_weekend,35.0,0.389668225339568
NAC,LightGBM,minute,33.0,0.36740146960587844
NAC,LightGBM,is_post_holiday,32.0,0.3562680917390336
NAC,LightGBM,PEAK_OFFPEAK_NUMERIC,24.0,0.26720106880427524
NAC,LightGBM,is_pre_holiday,21.0,0.23380093520374082
NAC,LightGBM,dayofweek_auto,15.0,0.16700066800267202
NAC,LightGBM,quarter,11.0,0.1224671565352928
NAC,LightGBM,is_Saturday,11.0,0.1224671565352928
NAC,LightGBM,reg,0.0,0.0
NEC,XGBoost,REQ_LAST168H,0.24379776418209076,24.379773511913598
NEC,XGBoost,REQUIREMENT_LAG_3D,0.21393777430057526,21.393774879720823
NEC,XGBoost,REQ_LAST336H,0.15623605251312256,15.623603388833596
NEC,XGBoost,WetBulb_W,0.06955623626708984,6.955622797534132
NEC,XGBoost,is_post_holiday,0.025806957855820656,2.5806954779391913
NEC,XGBoost,Temp_W,0.024194849655032158,2.419484677078166
NEC,XGBoost,IsDaylight_W,0.02368244342505932,2.36824406018924
NEC,XGBoost,REQ_LAST504H,0.023075465112924576,2.3075462362115102
NEC,XGBoost,UVIndex_W,0.016670722514390945,1.6670720527086194
NEC,XGBoost,is_Sunday,0.01582461968064308,1.5824617794201639
NEC,XGBoost,hour,0.013573097996413708,1.3573096378374532
NEC,XGBoost,is_pre_holiday,0.01344105415046215,1.3441052548163825
NEC,XGBoost,REQ_LAST168H_roll_mean_3,0.01303346361964941,1.3033462065939658
NEC,XGBoost,DewPoint_W,0.012054309248924255,1.2054307811938785
NEC,XGBoost,is_holiday,0.011641609482467175,1.1641608094679343
NEC,XGBoost,RealFeel_W,0.009537438862025738,0.9537437725074562
NEC,XGBoost,long_holiday,0.008615737780928612,0.8615736753852755
NEC,XGBoost,year_auto,0.008346700109541416,0.8346699114537344
NEC,XGBoost,hour_auto,0.00788324885070324,0.7883247910946858
NEC,XGBoost,year,0.007684608455747366,0.768460753967076
NEC,XGBoost,REQ_LAST672H,0.00680267158895731,0.6802670778015759
NEC,XGBoost,REQ_LAST168H_roll_std_6,0.006461551412940025,0.6461550642663164
NEC,XGBoost,month_auto,0.005951406434178352,0.5951405724715505
NEC,XGBoost,TIME_SLOT,0.005400003399699926,0.5400002755969434
NEC,XGBoost,month,0.005053183529525995,0.5053182927139649
NEC,XGBoost,peakmonth,0.00465931324288249,0.4659312687449135
NEC,XGBoost,is_weekend,0.004577212035655975,0.45772114900098454
